Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
2011,9,202,473,9,22.4,42.7,63,2,0,15,2,72.1
2012,16,689,"1,474",14,49.2,46.7,116,3,3,89,2,77.9
2013,12,616,"1,127",11,56,54.7,119,3,2,73,2,70.9
2014,20,847,"1,399",19,44.6,60.5,169,2,4,101,2,69.4
2015,15,640,"1,184",15,42.7,54.1,147,2,2,74,1,72
2016,18,"1,215","2,011",16,75.9,60.4,235,2,4,134,2,65.1
2017,16,"1,059","1,389",14,75.6,76.2,243,1,5,98,6,54.2
2018,24,"1,322","2,433",24,55.1,54.3,153,5,5,144,2,70.4
2019,11,612,967,9,68,63.3,254,2,2,78,3,68.5
2020,6,116,283,6,19.3,41,74,1,0,15,0,79.9
2021,19,536,"1,216",19,28.2,44.1,72,4,0,60,1,77.1
2022,11,265,672,10,26.5,39.4,79,1,0,33,1,79.2
2023,12,671,"1,226",12,55.9,54.7,186,2,2,70,1,68.6
2024,19,417,673,17,24.5,62,100,1,1,43,5,67
2025,2,23,81,2,11.5,28.4,17,0,0,1,0,84
Total,210,"9,230","16,608",197,46.9,55.6,254,31,30,"1,028",30,69.9
